month,price
2021-01-01,22
2021-02-01,23
2021-03-01,24
2021-04-01,25
2021-05-01,27
2021-06-01,29
2021-07-01,28
2021-08-01,26
2021-09-01,25
2021-10-01,26
2021-11-01,28
2021-12-01,29
2022-01-01,30
2022-02-01,28
2022-03-01,27
2022-04-01,29
2022-05-01,31
2022-06-01,33
2022-07-01,32
2022-08-01,30
2022-09-01,29
2022-10-01,30
2022-11-01,32
2022-12-01,34
2023-01-01,35
2023-02-01,33
2023-03-01,32
2023-04-01,34
2023-05-01,36
2023-06-01,38
2023-07-01,37
2023-08-01,35
2023-09-01,34
2023-10-01,36
2023-11-01,37
2023-12-01,39
2024-01-01,38
2024-02-01,37
2024-03-01,36
2024-04-01,35
2024-05-01,37
2024-06-01,39
2024-07-01,38
2024-08-01,36
2024-09-01,37
2024-10-01,39
2024-11-01,40
2024-12-01,41
2025-01-01,39
2025-02-01,38
2025-03-01,37
2025-04-01,39
2025-05-01,41
2025-06-01,43
2025-07-01,42
2025-08-01,40
2025-09-01,41
