month,price
2021-01-01,20
2021-02-01,21
2021-03-01,21
2021-04-01,22
2021-05-01,23
2021-06-01,23
2021-07-01,24
2021-08-01,24
2021-09-01,25
2021-10-01,25
2021-11-01,26
2021-12-01,26
2022-01-01,27
2022-02-01,27
2022-03-01,28
2022-04-01,28
2022-05-01,29
2022-06-01,29
2022-07-01,30
2022-08-01,30
2022-09-01,31
2022-10-01,31
2022-11-01,32
2022-12-01,32
2023-01-01,33
2023-02-01,33
2023-03-01,34
2023-04-01,34
2023-05-01,35
2023-06-01,36
2023-07-01,36
2023-08-01,37
2023-09-01,37
2023-10-01,38
2023-11-01,38
2023-12-01,39
2024-01-01,39
2024-02-01,40
2024-03-01,40
2024-04-01,41
2024-05-01,41
2024-06-01,42
2024-07-01,42
2024-08-01,43
2024-09-01,43
2024-10-01,44
2024-11-01,44
2024-12-01,45
2025-01-01,45
2025-02-01,46
2025-03-01,46
2025-04-01,47
2025-05-01,47
2025-06-01,48
2025-07-01,48
2025-08-01,49
2025-09-01,49
