month,price
2021-01-01,32
2021-02-01,28
2021-03-01,31
2021-04-01,29
2021-05-01,33
2021-06-01,27
2021-07-01,30
2021-08-01,28
2021-09-01,32
2021-10-01,29
2021-11-01,31
2021-12-01,28
2022-01-01,30
2022-02-01,29
2022-03-01,31
2022-04-01,28
2022-05-01,32
2022-06-01,27
2022-07-01,30
2022-08-01,29
2022-09-01,31
2022-10-01,28
2022-11-01,30
2022-12-01,29
2023-01-01,31
2023-02-01,28
2023-03-01,30
2023-04-01,29
2023-05-01,31
2023-06-01,28
2023-07-01,30
2023-08-01,29
2023-09-01,31
2023-10-01,28
2023-11-01,30
2023-12-01,29
2024-01-01,31
2024-02-01,28
2024-03-01,30
2024-04-01,29
2024-05-01,31
2024-06-01,28
2024-07-01,30
2024-08-01,29
2024-09-01,31
2024-10-01,28
2024-11-01,26
2024-12-01,24
2025-01-01,22
2025-02-01,20
