month,price
2021-01-01,24
2021-02-01,25
2021-03-01,26
2021-04-01,28
2021-05-01,30
2021-06-01,32
2021-07-01,29
2021-08-01,27
2021-09-01,28
2021-10-01,30
2021-11-01,33
2021-12-01,35
2022-01-01,32
2022-02-01,31
2022-03-01,33
2022-04-01,35
2022-05-01,37
2022-06-01,34
2022-07-01,32
2022-08-01,33
2022-09-01,35
2022-10-01,38
2022-11-01,40
2022-12-01,37
2023-01-01,35
2023-02-01,36
2023-03-01,38
2023-04-01,40
2023-05-01,42
2023-06-01,39
2023-07-01,37
2023-08-01,38
2023-09-01,41
2023-10-01,43
2023-11-01,45
2023-12-01,42
2024-01-01,40
2024-02-01,41
2024-03-01,43
2024-04-01,44
2024-05-01,46
2024-06-01,43
2024-07-01,41
2024-08-01,42
2024-09-01,44
2024-10-01,47
2024-11-01,48
2024-12-01,45
2025-01-01,43
2025-02-01,44
2025-03-01,46
2025-04-01,47
2025-05-01,49
2025-06-01,46
2025-07-01,44
2025-08-01,45
2025-09-01,47
