month,price
2021-01-01,53
2021-02-01,49
2021-03-01,46
2021-04-01,48
2021-05-01,43
2021-06-01,41
2021-07-01,39
2021-08-01,37
2021-09-01,35
2021-10-01,33
2021-11-01,31
2021-12-01,29
2022-01-01,27
2022-02-01,25
2022-03-01,23
2022-04-01,21
2022-05-01,19
2022-06-01,17
2022-07-01,15
2022-08-01,13
2022-09-01,11
2022-10-01,12
2022-11-01,13
2022-12-01,15
2023-01-01,16
2023-02-01,18
2023-03-01,20
2023-04-01,22
2023-05-01,24
2023-06-01,25
2023-07-01,27
2023-08-01,29
2023-09-01,30
2023-10-01,31
2023-11-01,34
2023-12-01,34
2024-01-01,34
2024-02-01,34
2024-03-01,38
2024-04-01,39
2024-05-01,34
2024-06-01,35
2024-07-01,41
2024-08-01,40
2024-09-01,43
2024-10-01,38
2024-11-01,44
2024-12-01,40
2025-01-01,37
2025-02-01,31

