month,price
2021-01-01,30
2021-02-01,35
2021-03-01,33
2021-04-01,38
2021-05-01,36
2021-06-01,40
2021-07-01,37
2021-08-01,35
2021-09-01,39
2021-10-01,34
2021-11-01,36
2021-12-01,38
2022-01-01,40
2022-02-01,42
2022-03-01,39
2022-04-01,44
2022-05-01,41
2022-06-01,45
2022-07-01,43
2022-08-01,40
2022-09-01,44
2022-10-01,38
2022-11-01,41
2022-12-01,43
2023-01-01,45
2023-02-01,47
2023-03-01,44
2023-04-01,49
2023-05-01,46
2023-06-01,50
2023-07-01,48
2023-08-01,45
2023-09-01,49
2023-10-01,43
2023-11-01,46
2023-12-01,48
2024-01-01,50
2024-02-01,52
2024-03-01,49
2024-04-01,54
2024-05-01,51
2024-06-01,55
2024-07-01,53
2024-08-01,50
2024-09-01,54
2024-10-01,48
2024-11-01,51
2024-12-01,53
2025-01-01,55
2025-02-01,57
