month,price
2021-01-01,52
2021-02-01,48
2021-03-01,45
2021-04-01,47
2021-05-01,42
2021-06-01,40
2021-07-01,38
2021-08-01,36
2021-09-01,34
2021-10-01,32
2021-11-01,30
2021-12-01,28
2022-01-01,26
2022-02-01,24
2022-03-01,22
2022-04-01,20
2022-05-01,18
2022-06-01,16
2022-07-01,14
2022-08-01,12
2022-09-01,10
2022-10-01,11
2022-11-01,12
2022-12-01,14
2023-01-01,15
2023-02-01,17
2023-03-01,19
2023-04-01,21
2023-05-01,23
2023-06-01,24
2023-07-01,26
2023-08-01,28
2023-09-01,29
2023-10-01,30
2023-11-01,33
2023-12-01,33
2024-01-01,33
2024-02-01,33
2024-03-01,37
2024-04-01,38
2024-05-01,33
2024-06-01,34
2024-07-01,40
2024-08-01,39
2024-09-01,42
2024-10-01,37
2024-11-01,43
2024-12-01,39
2025-01-01,36
2025-02-01,30
